,year,rank,song,artist
0,1960,1,El Paso,Marty Robbins
1,1960,2,Why,Frankie Avalon
2,1960,3,The Big Hurt,Miss Toni Fisher
3,1960,4,Running Bear,Johnny Preston
4,1960,5,Way Down Yonder In New Orleans,Freddie Cannon
5,1960,6,Heartaches By The Number,Guy Mitchell
6,1960,7,It's Time To Cry,Paul Anka
7,1960,8,Among My Souvenirs,Connie Francis
8,1960,9,Pretty Blue Eyes,Steve Lawrence
9,1960,10,"Go, Jimmy, Go",Jimmy Clanton
10,1960,11,We Got Love,Bobby Rydell
11,1960,12,Mack The Knife,Bobby Darin
12,1960,13,The Village Of St. Bernadette,Andy Williams
13,1960,14,Uh! Oh! Part 2,The Nutty Squirrels
14,1960,15,Sandy,Larry Hall
15,1960,16,Hound Dog Man,Fabian
16,1960,17,Scarlet Ribbons (For Her Hair),The Browns
17,1960,18,Smokie - Part 2,Bill Black's Combo
18,1960,19,Not One Minute More,Della Reese
19,1960,20,This Friendly World,Fabian
20,1960,21,In The Mood,Ernie Fields & Orch.
21,1960,22,The Little Drummer Boy,The Harry Simeone Chorale
22,1960,23,You Got What It Takes,Marv Johnson
23,1960,24,First Name Initial,Annette With The Afterbeats
24,1960,25,So Many Ways,Brook Benton
25,1960,26,Oh! Carol,Neil Sedaka
26,1960,27,Be My Guest,Fats Domino
27,1960,28,Tear Drop,Santo & Johnny
28,1960,29,Teen Angel,Mark Dinning
29,1960,30,Come Into My Heart,Lloyd Price and His Orchestra
30,1960,31,Mr. Blue,The Fleetwoods
31,1960,32,I Wanna Be Loved,Ricky Nelson
32,1960,33,Danny Boy,Conway Twitty
33,1960,34,Don't You Know,Della Reese
34,1960,35,Talk That Talk,Jackie Wilson
35,1960,36,Marina,Rocco Granata and the International Quintet
36,1960,37,Just Come Home,Hugo & Luigi
37,1960,38,How About That,Dee Clark
38,1960,39,Swingin' On A Rainbow,Frankie Avalon
39,1960,40,Misty,Johnny Mathis
40,1960,41,He'll Have To Go,Jim Reeves
41,1960,42,Believe Me,Royal Teens
42,1960,43,Dance With Me,The Drifters
43,1960,44,Just As Much As Ever,Bob Beckham
44,1960,45,The Happy Reindeer,"Dancer, Prancer And Nervous"
45,1960,46,Bonnie Came Back,Duane Eddy His Twangy Guitar And The Rebels
46,1960,47,(New In) The Ways Of Love,Tommy Edwards
47,1960,48,If I Had A Girl,Rod Lauren
48,1960,49,Mighty Good,Ricky Nelson
49,1960,50,What About Us,The Coasters
50,1960,51,Where Or When,Dion & The Belmonts
51,1960,52,The Clouds,The Spacemen
52,1960,53,Mary Don't You Weep,Stonewall Jackson
53,1960,54,Marina,Willy Alberti
54,1960,55,"(If You Cry) True Love, True Love",The Drifters
55,1960,56,No Love Have I,Webb Pierce
56,1960,57,Reveille Rock,Johnny And The Hurricanes
57,1960,58,Uh! Oh! Part 1,The Nutty Squirrels
58,1960,59,Always,Sammy Turner
59,1960,60,"Shimmy, Shimmy, Ko-Ko-Bop",Little Anthony And The Imperials
60,1960,61,The Chipmunk Song (Christmas Don't Be Late),David Seville And The Chipmunks
61,1960,62,Down By The Station,The Four Preps
62,1960,63,A Year Ago Tonight,The Crests
63,1960,64,Honey Hush,Joe Turner
64,1960,65,Lonely Blue Boy,Conway Twitty
65,1960,66,Wont'cha Come Home,Lloyd Price and His Orchestra
66,1960,67,Handy Man,Jimmy Jones
67,1960,68,Crazy Arms,Bob Beckham
68,1960,69,High School U.S.A.,Tommy Facenda
69,1960,70,Lucky Devil,"Carl Dobkins, Jr."
70,1960,71,Let's Try Again,Clyde McPhatter
71,1960,72,Baciare Baciare (Kissing Kissing),Dorothy Collins
72,1960,73,(Seven Little Girls) Sitting In The Back Seat,Paul Evans and the Curls
73,1960,74,Primrose Lane,Jerry Wallace With The Jewels
74,1960,75,This Time Of The Year,Brook Benton
75,1960,76,Love Potion No. 9,The Clovers
76,1960,77,Climb Ev'ry Mountain,Tony Bennett
77,1960,78,Skokiaan (South African Song),Bill Haley And His Comets
78,1960,79,Sweet Nothin's,Brenda Lee
79,1960,80,Run Red Run,The Coasters
80,1960,81,Promise Me A Rose (A Slight Detail),Anita Bryant
81,1960,82,Rockin' Little Angel,Ray Smith
82,1960,83,I'm Movin' On,Ray Charles and his Orchestra
83,1960,84,Tracy's Theme,Spencer Ross
84,1960,85,The Little Drummer Boy,Johnny Cash
85,1960,86,Little Things Mean A Lot,Joni James
86,1960,87,Riverboat,Faron Young
87,1960,88,Harlem Nocturne,The Viscounts
88,1960,89,God Bless America,Connie Francis
89,1960,90,The Sound Of Music,Patti Page
90,1960,91,I Don't Know What It Is,The Bluenotes
91,1960,92,Darling Lorraine,The Knockouts
92,1960,93,In The Still Of The Nite,The Five Satins
93,1960,94,Do-Re-Mi,Mitch Miller
94,1960,95,Little Coco Palm,Jerry Wallace
95,1960,96,Deck Of Cards,Wink Martindale
96,1960,97,One Mint Julep,Chet Atkins
97,1960,98,Happy Anniversary,Jane Morgan
98,1960,99,Smokie-Part 2,Bill Doggett
99,1960,100,One More Chance,Rod Bernard
